,ex_date,split_factor
935,19960612000000,1.7899999999999998
936,19970624000000,1.4
937,20060616000000,1.58696
938,19950613000000,1.3
939,19960717000000,1.2
940,19961217000000,1.5
941,19980602000000,1.1
942,20060313000000,1.97
943,19960624000000,1.1
944,19970417000000,1.4
945,20000509000000,1.8
946,20080311000000,1.11748
947,19990908000000,1.3
948,20050722000000,1.3
949,20060405000000,1.17
950,20090527000000,1.0415022999999999
951,20130703000000,1.5
952,19960611000000,1.1
953,19970521000000,2.0
954,20070522000000,1.3199999999999998
955,20170522000000,1.3
956,19960621000000,1.4
957,20020520000000,1.9
958,19960625000000,1.3
959,19980710000000,1.1
960,20040908000000,1.5
961,20060328000000,1.35
962,20140423000000,1.5
963,20060516000000,1.25
964,19960603000000,2.0
965,19980618000000,1.3
966,20051229000000,1.3800000000000001
967,19960614000000,1.4
968,19970519000000,1.3
969,20110818000000,3.0
970,20170713000000,2.0
971,19960611000000,1.46
972,19970506000000,1.7
973,20060406000000,1.3599999999999999
974,20110615000000,1.5
975,19960626000000,1.2
976,19970107000000,1.25
977,20000509000000,1.8
978,20060831000000,1.35
979,20120904000000,1.1
980,19980629000000,1.2
981,19991027000000,1.2
982,20020522000000,1.1
983,20070201000000,1.5466
984,20080509000000,1.5
985,20110525000000,1.4
986,20170605000000,2.2
987,19961219000000,1.3
988,19970716000000,1.1
989,19980617000000,1.3
990,20080319000000,1.3
991,20120531000000,1.3
992,20160613000000,2.0
993,19960701000000,1.4
994,20010509000000,2.0
995,20020613000000,1.1
996,20060912000000,1.53
997,19960610000000,1.8
998,19980518000000,1.4
999,19991103000000,1.8
1000,20010807000000,1.5
1001,20060110000000,1.3
1002,20100709000000,1.2
1003,19970611000000,1.2
1004,19980713000000,1.2
1005,20060421000000,1.636
1006,20161220000000,2.0
1007,19980710000000,1.3
1008,19990729000000,1.2
1009,20060214000000,1.3599999999999999
1010,20060619000000,1.4
1011,20120502000000,2.0
1012,19990525000000,1.8
1013,20020723000000,1.1
1014,20030711000000,1.2
1015,20050826000000,1.3
1016,20060417000000,1.3
1017,20110816000000,2.0
1018,20130422000000,2.0
1019,19970714000000,1.2
1020,20020701000000,1.1
1021,20030819000000,1.2
1022,20050404000000,1.8
1023,20051205000000,1.35
1024,19970116000000,1.8
1025,19970509000000,1.28
1026,20050525000000,1.5
1027,20051128000000,1.3199999999999998
1028,20081022000000,1.1
1029,19961028000000,1.6
1030,19971103000000,1.8
1031,20060223000000,1.8733
1032,20060829000000,1.1
1033,20070820000000,1.1
1034,19961119000000,1.3
1035,19970221000000,1.4
1036,20040614000000,1.5
1037,20051220000000,1.3
1038,20120917000000,2.0
1039,19970311000000,1.9
1040,20060630000000,2.0
1041,19970806000000,1.1
1042,19971028000000,1.5
1043,20060621000000,1.52
1044,20180711000000,1.4
1045,20010920000000,2.0
1046,20060123000000,1.3199999999999998
1047,20070524000000,1.2
1048,20090518000000,1.5
1049,20010621000000,1.25
1050,20040524000000,1.6
1051,20051222000000,1.6
1052,20060622000000,1.1
1053,19970512000000,1.3
1054,19971103000000,1.5
1055,20070129000000,1.3956
1056,20080425000000,2.0
1057,19980413000000,1.8
1058,20000427000000,1.7
1059,20041029000000,1.4
1060,20060113000000,1.33
1061,20071015000000,1.3
1062,20100407000000,1.4
1063,19970916000000,1.7
1064,20060214000000,1.3199999999999998
1065,20070705000000,1.1739282
1066,19970509000000,1.8
1067,20000428000000,1.2
1068,20030425000000,1.6
1069,20060922000000,1.3
1070,20131125000000,1.8
1071,19970515000000,1.8
1072,19980723000000,1.2
1073,20060802000000,1.55
1074,20080612000000,1.3
1075,19980803000000,1.1
1076,20070808000000,1.3
1077,19970526000000,1.2
1078,19980507000000,1.3
1079,19990504000000,1.4
1080,20060215000000,1.8
1081,20160705000000,2.0
1082,19970527000000,1.3
1083,20040927000000,1.6
1084,20050712000000,1.2
1085,20060821000000,1.2
1086,20070306000000,1.28
1087,20090730000000,1.2
1088,19990714000000,1.3
1089,20010509000000,1.5357100000000001
1090,20021101000000,1.3
1091,20040611000000,1.5
1092,20060718000000,1.34
1093,20070517000000,1.1
1094,20080509000000,1.5
1095,20090423000000,1.5
1096,20100601000000,1.1
1097,20110525000000,1.2
1098,20130528000000,1.2
1099,19970716000000,1.5
1100,20000926000000,2.0
1101,20020910000000,2.0
1102,20060317000000,1.3
1103,19970425000000,1.6
1104,20000620000000,1.2
1105,20110602000000,1.4
1106,19970619000000,1.3
1107,19980625000000,1.3
1108,19970619000000,1.2
1109,19990506000000,2.0
1110,20130114000000,3.0
1111,19970526000000,1.2
1112,19971030000000,1.5
1113,19980525000000,1.3
1114,20040423000000,1.5
1115,20070517000000,2.0
1116,20110609000000,1.2
1117,20120612000000,1.3
1118,20170619000000,1.3
1119,19970624000000,1.2
1120,19990708000000,1.5
1121,20000413000000,1.5
1122,20030926000000,1.5
1123,20061228000000,1.3
1124,20161021000000,2.0
1125,19980626000000,1.4
